x,y,z
31.5,26.5,9
31.5,26.5,9
31.5,27,8.5
31.5,27,8.5
31.5,27,8
31.5,27,8
31.5,27,7.5
31.5,27,7.5
31.5,27.5,7
31.5,27.5,7
31.5,27.5,6.5
31.5,27.5,6.5
31.5,28,6
31.5,28,6
31.5,28,5.5
31.5,28,5.5
31.5,28,5
31.5,28,5
31.5,28.5,4.5
31.5,28.5,4.5
31.5,29,4
31.5,29,4
31.5,29.5,3.5
31.5,29.5,3.5
31.5,30,3
31.5,30,3
31.5,30.5,2.5
31.5,30.5,2.5
31.5,31,2.5
31.5,31,2.5
31.5,31.5,2.5
31.5,31.5,2.5
31.5,32,2
31.5,32,2
31.5,32.5,2.5
31.5,32.5,2.5
31.5,33,2.5
31.5,33,2.5
31.5,33.5,2.5
31.5,33.5,2.5
31.5,34,2.5
31.5,34,2.5
31.5,34.5,3
31.5,34.5,3
31.5,35,3
31.5,35,3
31.5,35,3.5
31.5,35,3.5
31.5,35.5,4
31.5,35.5,4
31.5,36,4.5
31.5,36,4.5
31.5,36.5,5
31.5,36.5,5
31.5,36.5,5.5
31.5,36.5,5.5
31.5,36.5,6
31.5,36.5,6
31.5,37,6.5
31.5,37,6.5
31.5,37,7
31.5,37,7
31.5,37,7.5
31.5,37,7.5
31.5,37,8
31.5,37,8
31.5,37,8.5
31.5,37,8.5
31.5,37,9
31.5,37,9
31.5,37,9.5
31.5,37,9.5
31.5,37,10
31.5,37,10
31.5,37.5,10.5
31.5,37.5,10.5
31.5,37.5,11
31.5,37.5,11
31.5,37.5,11.5
31.5,37.5,11.5
31.5,37.5,12
31.5,37.5,12
31.5,37,12.5
31.5,37,12.5
31.5,37,13
31.5,37,13
31.5,37,13.5
31.5,37,13.5
31.5,37,14
31.5,37,14
31.5,37,14.5
31.5,37,14.5
31.5,36.5,15
31.5,36.5,15
31.5,36.5,15.5
31.5,36.5,15.5
31.5,36,16
31.5,36,16
31.5,35.5,16.5
31.5,35.5,16.5
31.5,35,16.5
31.5,35,16.5
31.5,34.5,16.5
31.5,34.5,16.5
31.5,34,16.5
31.5,34,16.5
31.5,33.5,16.5
31.5,33.5,16.5
31.5,33,16.5
31.5,33,16.5
31.5,32.5,16.5
31.5,32.5,16.5
31.5,32,16.5
31.5,32,16.5
31.5,31.5,16.5
31.5,31.5,16.5
31.5,31,16
31.5,31,16
31.5,30.5,16
31.5,30.5,16
31.5,30,16
31.5,30,16
31.5,29.5,16
31.5,29.5,16
31.5,29,16
31.5,29,16
31.5,28.5,16
31.5,28.5,16
31.5,28,16
31.5,28,16
31.5,27.5,15.5
31.5,27.5,15.5
31.5,27,15
31.5,27,15
31.5,27,14.5
31.5,27,14.5
31.5,26.5,14
31.5,26.5,14
31.5,26.5,13.5
31.5,26.5,13.5
31.5,26.5,13
31.5,26.5,13
31.5,26.5,12.5
31.5,26.5,12.5
31.5,26.5,12
31.5,26.5,12
31.5,26.5,11.5
31.5,26.5,11.5
31.5,26.5,11
31.5,26.5,11
31.5,26.5,10.5
31.5,26.5,10.5
31.5,26.5,10
31.5,26.5,10
31.5,26.5,9.5
31.5,26.5,9.5
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
31.5,26.5,9
30.6396104422787,26.0677141267267,9.5
30.6396104422787,26.0677141267267,9.5
30.7178276747988,26.5615582970243,9
30.7178276747988,26.5615582970243,9
30.7178276747988,26.5615582970243,8.5
30.7178276747988,26.5615582970243,8.5
30.7178276747988,26.5615582970243,8
30.7178276747988,26.5615582970243,8
30.796044907319,27.0554024673219,7.5
30.796044907319,27.0554024673219,7.5
30.796044907319,27.0554024673219,7
30.796044907319,27.0554024673219,7
30.8742621398391,27.5492466376194,6.5
30.8742621398391,27.5492466376194,6.5
30.8742621398391,27.5492466376194,6
30.8742621398391,27.5492466376194,6
30.9524793723592,28.043090807917,5.5
30.9524793723592,28.043090807917,5.5
31.0306966048793,28.5369349782146,5
31.0306966048793,28.5369349782146,5
31.1089138373994,29.0307791485122,4.5
31.1089138373994,29.0307791485122,4.5
31.1871310699195,29.5246233188097,4
31.1871310699195,29.5246233188097,4
31.1871310699195,29.5246233188097,3.5
31.1871310699195,29.5246233188097,3.5
31.2653483024397,30.0184674891073,3.5
31.2653483024397,30.0184674891073,3.5
31.3435655349598,30.5123116594049,3
31.3435655349598,30.5123116594049,3
31.4217827674799,31.0061558297024,2.5
31.4217827674799,31.0061558297024,2.5
31.5,31.5,2.5
31.5,31.5,2.5
31.5782172325201,31.9938441702976,2.5
31.5782172325201,31.9938441702976,2.5
31.6564344650402,32.4876883405951,2.5
31.6564344650402,32.4876883405951,2.5
31.7346516975603,32.9815325108927,2.5
31.7346516975603,32.9815325108927,2.5
31.8128689300805,33.4753766811903,2.5
31.8128689300805,33.4753766811903,2.5
31.8910861626006,33.9692208514878,3
31.8910861626006,33.9692208514878,3
31.9693033951207,34.4630650217854,3
31.9693033951207,34.4630650217854,3
32.0475206276408,34.956909192083,3.5
32.0475206276408,34.956909192083,3.5
32.1257378601609,35.4507533623806,4
32.1257378601609,35.4507533623806,4
32.203955092681,35.9445975326781,4.5
32.203955092681,35.9445975326781,4.5
32.2821723252012,36.4384417029757,5
32.2821723252012,36.4384417029757,5
32.2821723252012,36.4384417029757,5.5
32.2821723252012,36.4384417029757,5.5
32.2821723252012,36.4384417029757,6
32.2821723252012,36.4384417029757,6
32.3603895577213,36.9322858732733,6.5
32.3603895577213,36.9322858732733,6.5
32.3603895577213,36.9322858732733,7
32.3603895577213,36.9322858732733,7
32.3603895577213,36.9322858732733,7.5
32.3603895577213,36.9322858732733,7.5
32.3603895577213,36.9322858732733,8
32.3603895577213,36.9322858732733,8
32.3603895577213,36.9322858732733,8.5
32.3603895577213,36.9322858732733,8.5
32.3603895577213,36.9322858732733,9
32.3603895577213,36.9322858732733,9
32.3603895577213,36.9322858732733,9.5
32.3603895577213,36.9322858732733,9.5
32.4386067902414,37.4261300435708,10
32.4386067902414,37.4261300435708,10
32.4386067902414,37.4261300435708,10.5
32.4386067902414,37.4261300435708,10.5
32.4386067902414,37.4261300435708,11
32.4386067902414,37.4261300435708,11
32.4386067902414,37.4261300435708,11.5
32.4386067902414,37.4261300435708,11.5
32.4386067902414,37.4261300435708,12
32.4386067902414,37.4261300435708,12
32.3603895577213,36.9322858732733,12.5
32.3603895577213,36.9322858732733,12.5
